Name,Country,Coordinates
Ensemble of the Ferapontov Monastery,Russian Federation,N59 57 0 E38 34 0
Ensemble of the Novodevichy Convent,Russian Federation,N55 43 34 E37 33 18.3
Ephesus,Türkiye,N37 55 45 E27 21 34
Episcopal City of Albi,France,N43 55 42 E2 8 33
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,Croatia,N45 13 42.9 E13 35 36
Erbil Citadel,Iraq,N36 11 28 E44 0 33
Erzgebirge/Krušnohoří Mining Region,Czechia,N50 24 23.5 E12 50 14.44
"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",Argentina,S34 32 11.91 W58 27 55.2
Etruscan Necropolises of Cerveteri and Tarquinia,Italy,N42 0 24.6 E12 6 6.8
Evaporitic Karst and Caves of Northern Apennines,Italy,N44 22 47.8 E10 23 20.1
Everglades National Park,United States of America,N25 33 16 W80 59 47
Fagus Factory in Alfeld,Germany,N51 59 2 E9 48 44
Fanjingshan,China,N27 53 44 E108 40 48
"Fasil Ghebbi, Gondar Region",Ethiopia,N12 36 28.472 E37 28 10.92
Fatehpur Sikri,India,N27 5 51.101 E77 39 59.4
"Ferrara, City of the Renaissance, and its Po Delta",Italy,N44 50 16 E11 37 10
Fertö / Neusiedlersee Cultural Landscape,Austria,N47 43 9.4 E16 43 21.8
Flemish Béguinages,Belgium,N51 1 51.5 E4 28 25.5
Forest Massif of Odzala-Kokoua,Congo,N1 20 8 E14 51 37
Fort and Shalamar Gardens in Lahore,Pakistan,N31 35 25 E74 18 35
"Fort Jesus, Mombasa",Kenya,S4 3 46 E39 40 46
Fortifications of Vauban,France,N47 14 10 E6 1 37
Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,Panama,N9 33 14 W79 39 21
Fortress of Suomenlinna,Finland,N60 8 49.992 E24 59 13.992
"Forts and Castles, Volta, Greater Accra, Central and Western Regions",Ghana,N5 23 27.708 E0 29 36.996
Fossil Hominid Sites of South Africa,South Africa,S24 9 30.996 E29 10 36.984
Franciscan Missions in the Sierra Gorda of Querétaro,Mexico,N21 12 15.8 W99 27 50.8
Fray Bentos Industrial Landscape,Uruguay,S33 7 4 W58 19 54
French Austral Lands and Seas,France,S49 22 49.3 E69 21 10.1
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",France,N46 56 15 E5 52 35
Frontiers of the Roman Empire,Germany,N54 59 33.4 W2 36 3.6
Frontiers of the Roman Empire – The Danube Limes (Western Segment),Austria,N48 6 54.7 E16 51 41
Frontiers of the Roman Empire – The Lower German Limes,Germany,N52 10 49.2 E4 25 58.8
Fuerte de Samaipata,Bolivia (Plurinational State of),S18 10 41.963 W63 49 13.746
Fujian Tulou,China,N25 1 23 E117 41 9
"Fujisan, sacred place and source of artistic inspiration",Japan,N35 21 39 E138 43 39
